"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000152583",997.439773207048,4.56334706475901,0.185619897835832,2.22231974839155e-136,3.99884215525576e-132,"SPARCL1","8404"
"ENSG00000165995",495.092906698546,3.28035231082946,0.133330866932628,7.8397572087114e-135,7.05342956067765e-131,"CACNB2","783"
"ENSG00000120129",3409.02937530956,2.93799351420719,0.12202777083291,3.66732005915504e-130,2.19965857148119e-126,"DUSP1","1843"
"ENSG00000101347",12703.3870621821,3.75352539563574,0.15705353372166,9.56353875785341e-130,4.30215791022035e-126,"SAMHD1","25939"
"ENSG00000189221",2341.76725275591,3.3421864346776,0.143093947297795,1.09937074996403e-123,3.95641545497056e-120,"MAOA","4128"
"ENSG00000211445",12285.6151498691,3.7169519696876,0.167889677029247,4.61813781939102e-112,1.38497953203537e-108,"GPX3","2878"
"ENSG00000157214",3009.26322295794,1.96828903641797,0.0901843315330224,5.7690757950858e-107,1.48298214081105e-103,"STEAP2","261729"
"ENSG00000162614",5393.10168349223,2.02802828177253,0.0944670074199959,1.32374651965617e-103,2.97743685933663e-100,"NEXN","91624"
"ENSG00000125148",3656.252782247,2.20324675282426,0.106042355327145,2.9022103676053e-97,5.80248592829886e-94,"MT2A","4502"
"ENSG00000154734",30315.1354711078,2.34504274690411,0.116193843913347,3.25945593964657e-91,5.86506501780004e-88,"ADAMTS1","9510"
"ENSG00000139132",1223.46614081102,2.21724834196859,0.11323260544984,7.57804484119927e-87,1.23963035338672e-83,"FGD4","121512"
"ENSG00000162493",1099.62586594636,1.88212538502978,0.0959904192003948,8.76771517315212e-87,1.31471889021416e-83,"PDPN","10630"
"ENSG00000134243",5510.95825597916,2.18261331811925,0.112591685670845,1.45114991928459e-85,2.00861474212361e-82,"SORT1","6272"
"ENSG00000179094",776.596665468835,3.17462270269248,0.165326523369044,2.12109136425679e-84,2.72620842917404e-81,"PER1","5187"
"ENSG00000162692",508.170232439755,-3.67384363744007,0.192026910283057,5.64321516074757e-84,6.76960090683278e-81,"VCAM1","7412"
"ENSG00000163884",561.107166129071,4.43364288828027,0.237481066596616,2.22558441253786e-80,2.50294786995039e-77,"KLF15","28999"
"ENSG00000178695",2649.85014895882,-2.51194114499792,0.135441104955005,6.66707132708677e-79,7.0568989093882e-76,"KCTD12","115207"
"ENSG00000198624",2057.19173059348,2.90050614535595,0.163134733435515,3.57763504369297e-73,3.57644249867841e-70,"CCDC69","26112"
"ENSG00000107562",25136.3075719089,-1.89975982337708,0.106126875141862,4.78614989859544e-73,4.53273585659613e-70,"CXCL12","6387"
"ENSG00000148848",1365.17398590702,-1.80408540996141,0.100830665569774,6.81455180133036e-73,6.13105225565693e-70,"ADAM12","8038"
"ENSG00000146250",313.689977800113,-2.7392772224201,0.155320120106994,7.72258142242429e-71,6.61714905310013e-68,"PRSS35","167681"
"ENSG00000106976",884.745882993046,-1.74541254514782,0.0999707259118596,1.93141691653476e-69,1.57972345436939e-66,"DNM1","1759"
"ENSG00000154930",670.046703530433,1.88658222331107,0.109012516633362,2.47529913901402e-68,1.93654490032254e-65,"ACSS1","84532"
"ENSG00000163394",1216.6020649876,-2.17369001682977,0.125970405331957,3.53702887181502e-68,2.65188739664331e-65,"CCKAR","886"
"ENSG00000253368",1040.17649034906,1.97323555159484,0.114939104830654,1.2710799757802e-67,9.14872523367559e-65,"TRNP1","388610"
"ENSG00000163661",8565.70116426611,2.2446397829197,0.131836047592548,6.38229182329429e-67,4.41703688724452e-64,"PTX3","5806"
"ENSG00000162616",1467.63582703992,1.5099810308574,0.0881861161375559,7.74650984421094e-67,5.16261844950858e-64,"DNAJB4","11080"
"ENSG00000148175",11193.718773887,1.44368322690485,0.084608253247035,4.70696812742667e-66,3.02489944588984e-63,"STOM","2040"
"ENSG00000124766",1281.46865801595,-2.39484604895521,0.141990656390678,8.87957200449585e-66,5.50962133272063e-63,"SOX4","6659"
"ENSG00000197381",1969.04835631005,2.30998385693581,0.136774381558517,1.54343478934853e-65,9.25752186651249e-63,"ADARB1","104"
"ENSG00000172403",8014.7816508389,1.73205254547097,0.103794587413188,5.54827230755336e-64,3.22050360974565e-61,"SYNPO2","171024"
"ENSG00000116285",3232.63543712134,2.40780998033425,0.14565580227381,2.26079026020397e-63,1.27127062319095e-60,"ERRFI1","54206"
"ENSG00000163083",418.921476555884,3.42472524527897,0.210836287281604,2.5430083758736e-61,1.38663311258999e-58,"INHBB","3625"
"ENSG00000166741",7432.9363516342,2.17140250763105,0.135653862981247,1.69561367404073e-59,8.97378601490852e-57,"NNMT","4837"
"ENSG00000070404",2128.11402480981,1.80269783545669,0.113973522760011,1.03360257762998e-57,5.31389850910684e-55,"FSTL3","10272"
"ENSG00000105989",333.214688163837,-3.01760661893285,0.192196754001878,6.86840774898061e-57,3.43305913986547e-54,"WNT2","7472"
"ENSG00000122035",943.340574231144,2.27175305358511,0.145881740256523,3.15423038328208e-56,1.53397895991291e-53,"RASL11A","387496"
"ENSG00000119139",5029.85142077092,1.91272868844273,0.123125685213321,4.86326333046647e-56,2.30288316758983e-53,"TJP2","9414"
"ENSG00000136478",3701.52859767166,1.45539997751955,0.0935140184958678,8.25882277860076e-56,3.81049377123441e-53,"TEX2","55852"
"ENSG00000196569",17178.4260430908,2.0132808900116,0.133921583602493,7.36168837341643e-53,3.31165551478138e-50,"LAMA2","3908"
"ENSG00000108821",100990.694351515,-1.29801511833954,0.0857472349654179,1.27230589734756e-52,5.58387129679803e-50,"COL1A1","1277"
